,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
RPL34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF827,0.28,0.51,0.12,0.23,-0.42,0.35,0,0.55,0.03,-0.44,-0.36,-0.31,0.96,0.57,-0.16,0.06,0.57,0.09,-0.18,-0.46,-0.06,0.16,-0.12,-0.45,0.15,0.21,-0.19,0.41
AFAP1,-0.07,0.24,-0.51,0.13,-0.08,-0.69,-0.38,-0.46,0.62,0,-0.97,0.22,0.62,0.55,-0.18,-0.47,-1.29,-1.38,-0.9,0.12,1.19,0.57,0.21,0,0.11,-0.41,0.89,0.24
CYP4X1,-0.21,-1.19,1.69,3.23,1.08,-1.32,0.4,-3.25,0.69,0.9,-2.21,2.33,2.17,-4.42,-2.87,-1.08,3.71,2.44,0.74,0,3.6,-3.44,0.68,1.17,0.04,-0.04,-3.74,0.79
ATP2A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XG,0,0.1,0,0.94,1.4,-2.84,1.18,0.08,0,1.05,-0.12,-0.43,-0.52,0.51,0.06,0.26,0.82,-0.67,-0.85,0,0.36,0,-2.77,-0.1,-0.82,-0.44,-0.12,1.07
CDS1,0.56,-0.01,-0.96,1.36,-1.44,0.67,-1.58,0.17,0.17,-1.15,-0.74,0.01,1.05,-1.58,-2.54,0.48,1.51,0.68,0.35,1.18,0.07,-1,0.57,-1.04,0.39,-0.79,-0.05,-0.81
KLHL2,-0.23,0.79,0.37,-0.07,-0.31,-0.41,0.74,0.41,0.82,0.19,-1.01,0.86,0.22,-0.24,-0.28,-0.6,-0.53,-0.72,0,-0.32,0.3,0.01,0.08,0.2,1.04,0.46,-0.01,0.43
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARP1B,-0.2,2.06,0.55,0.48,-0.52,1.16,0.33,0.4,-0.15,-0.57,-0.54,0.1,0.06,-0.57,-0.57,-0.47,-0.46,0.85,-1.07,1.13,0.93,-0.69,-0.29,-0.12,0.09,-0.28,0.04,0.4
AIFM1,0.83,0.54,0.54,0.22,0.11,0.39,-0.59,0.12,0.05,0.01,0.37,0.2,0.08,-0.2,-0.17,0.13,0.89,0.45,0.12,-0.53,0.51,-0.24,-0.24,0.17,0.24,0.37,0.04,-0.39
ULK1,-0.03,-0.61,1.02,-0.38,-0.19,0.42,0.09,0.42,-0.46,-0.38,0.47,-0.45,0.85,0.5,-0.2,0.69,-0.75,0.3,-0.82,-0.8,0.54,0.08,-0.25,0.22,0.19,0.21,0,0.67
SNX4,0.21,-0.23,-0.08,0.52,-0.27,1.09,0.34,0.66,0.2,0.36,-1.65,0.64,0.18,-0.94,-0.57,-0.3,0.53,-0.24,-0.15,0.27,-0.09,-0.01,0.1,-0.01,0.48,-0.07,-0.03,0.45
ACBD7,0.38,-0.48,0.32,-0.56,0.23,0.01,0.49,-0.01,-0.68,0.07,0.64,-0.41,0.2,0.15,0.6,0.34,0.11,0.14,-0.69,-0.58,-0.55,-0.18,-0.08,-0.24,-0.43,0.56,-0.89,0.4
1-Mar,2.99,0.31,-0.1,0.42,0.87,-0.75,-0.48,-0.4,0,-0.49,-0.22,0.54,-1.05,1.37,0.45,-0.68,-0.28,-0.73,-0.91,0,0.3,-0.54,-0.3,-0.78,-0.37,-0.74,-0.01,0.63
HGS,0.24,-0.61,0.51,-0.01,0.12,0.6,-0.45,-0.4,-0.53,-0.41,0.42,-0.68,0.62,0.59,-0.24,0.6,0.35,-0.03,-0.22,-0.77,0.21,-0.08,-0.34,0.11,0.11,-0.3,0.5,0.07
ADAM9,-0.11,1.19,-1.34,0.84,0.74,0.37,-0.44,-0.74,-0.18,-0.18,-1.23,0.26,0.57,0.51,1.27,-0.76,-1.21,0.55,0.1,0.89,0.79,0.01,-0.3,-0.74,-0.41,-0.42,0.61,0.3
ECSCR,0.86,0.83,0,-0.32,1.01,0,0.89,0.52,1.7,0,-0.55,0,-0.67,-0.33,0.85,-0.26,-0.59,-1.32,0.09,0,0,0.12,0,1.57,-0.72,0.37,-0.46,0.64
OPCML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDPR,-1.35,1.93,2.22,-3.25,-0.22,-0.21,1.09,1.21,1.33,2.55,0.78,-0.52,-3.2,0.32,0.28,0.26,-1.02,-2.38,1.58,2.14,-1.04,0,-0.55,1.13,-0.32,1.01,-1.26,0.4
IFT81,0.15,-0.36,-0.34,0.87,-0.16,-0.31,-0.19,0.21,-0.63,0.13,-0.39,0.28,0.33,-0.89,-0.5,-0.45,-0.38,0.01,1.45,-0.51,0.31,0.07,0.42,-0.2,0.36,0.33,-0.16,0
GPIHBP1,-0.14,0.9,0.93,-0.74,0.34,-0.85,0.8,0.56,0.66,1.34,-0.04,-0.03,-1.59,-0.21,1.17,0.35,0.1,-1.31,0.99,0.7,-1.55,0.53,0.12,0.66,-0.9,0.53,-0.33,0.6
IFITM1,0,0.09,-0.01,0,0.53,-1.18,-0.48,-0.67,0,0,0.21,-0.4,0.12,1.17,0,0.93,-1.41,0,-1.03,0.94,0.21,0.69,-0.66,0,0.01,-0.4,0.7,0.28
UGT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDF3,-1.46,-1.24,-0.06,0,-0.21,-0.64,-0.23,0.24,0,0.61,1.11,0.32,-0.79,0.43,0.58,0.78,-1.12,-0.8,0,0,-0.29,0.13,-0.54,1.35,-0.22,0,-0.87,0.11
ELMOD2,0.38,0.55,0,1.2,0.08,0.65,0.26,0.41,0.44,-0.04,-0.42,0.3,0.4,-0.53,-0.13,-0.68,-0.31,-0.18,-0.44,0.27,-0.17,0.13,-0.3,-0.23,0,0.23,-0.26,0.31
DPM3,0.17,-0.7,-0.24,0.38,-0.03,-0.68,0.13,-0.41,-0.15,-0.01,0.56,-0.1,0.53,0.27,-0.01,0.26,0.55,0.68,0.14,0.06,-0.24,-0.52,0.01,-0.06,-0.36,-0.06,-0.28,0.62
MFSD5,0.59,0.04,-0.71,0.68,0,0.97,-0.56,-0.27,-0.2,-0.12,0.41,0.04,-0.13,0.02,-0.52,0.51,0.37,0.44,0.05,-0.07,0.56,0.19,-0.29,-0.04,0.16,-0.4,-0.02,-0.34
MFSD5,0.65,0.21,-0.89,0.92,0.18,1.1,-0.6,-0.33,-0.34,-0.39,0.48,-0.14,0.03,-0.02,-0.46,0.82,0.89,0.57,0,-0.09,0.11,-0.08,-0.33,0.15,0.02,-0.52,-0.01,-0.61
LRRC20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYCP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC4A8,0,-0.93,0.37,1.75,2.03,-0.48,-0.32,2.71,0,-0.99,0.51,0.06,2.82,-0.22,-1.17,2.15,-0.43,-0.15,1.36,0,-1.35,-0.41,0.05,-0.01,0.66,0.21,-0.73,0.53
PRPS1,0.64,1.35,0.5,0.5,0.53,0.61,-0.3,-1.45,-1.04,0.57,0.46,0.49,-1.18,-0.39,0.25,0.12,1.21,1.07,0.67,-0.49,-1.68,0.23,-0.67,0.21,0.43,-0.21,0.65,-1.07
ARHGAP36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NELF,-0.68,-0.56,-0.17,-0.99,0,-0.44,0,-0.37,-0.48,-0.5,-0.32,-0.34,0,0.28,0.14,0.44,0,0.76,0.18,-0.31,0.52,0.28,0.69,-0.04,0.27,0.15,0.39,0
WHSC1,-0.17,-0.09,-0.03,0.28,-0.46,-0.06,0.21,0.48,0,0.02,0.23,-0.08,0.32,-0.26,0.07,-0.35,-0.74,0.42,-0.33,0,-0.58,-0.01,0.14,-0.24,0.64,-0.06,-0.93,0.4
C9orf3,0.23,-0.09,-0.29,0.6,0,-1.94,0.15,-0.03,0,0.32,-1.08,0.01,0.07,0.36,-0.7,-0.12,-0.35,-0.8,0,-0.02,0.58,0.6,-0.4,0.4,0.1,0.17,0.47,1.51
TBC1D1,0.65,0.4,-0.39,-0.95,0.54,-0.94,-0.12,0.24,0.3,-0.06,0.02,0,-0.04,0.57,1.21,0.18,-0.37,-0.53,-0.43,0.12,-0.09,0.15,-0.09,0.14,0.19,-0.46,0.08,0.06
CDKAL1,0.34,0,0.54,0,0.39,-0.08,0.46,0.13,-0.53,0,0.78,-0.34,0.16,0.33,0.68,0.37,-0.1,-0.14,-0.87,-0.37,-0.47,0.01,-0.1,-0.3,-0.41,0,-0.93,0.56
RGS20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROS1,-0.27,1.05,0.68,-0.54,0.3,-1.28,1.59,0.72,1.1,0,-0.58,1.13,-1.06,-0.17,1.13,-0.29,-1.61,-2.19,-0.12,0.08,0,0.9,0.34,1.51,0.37,1.38,0.31,1.05
CTNNA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPP1,-0.32,2.39,-1.43,0.34,2.23,-2.77,-1.63,-1.55,1.31,-2.76,-0.85,1.11,0.61,0.99,3.45,-0.98,-2.19,0.53,-2.19,0.14,6,0.27,-0.01,-1.72,0.01,-1.16,3.28,1.85
USHBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACO1,0.55,0.02,-0.01,0.07,0.2,1.29,-0.56,1.45,-0.2,-0.53,0.11,-0.18,0.15,0.01,-0.35,0.41,0.8,0.56,0.71,0.07,-1.07,-0.19,-0.12,0.28,0.17,-0.67,0.23,-0.47
TTC25,-0.56,-1.59,-1.24,0.85,-1.44,0.87,-0.28,0.91,-0.55,0,0.02,0.45,0.8,-1.54,-1.15,-0.77,-0.29,0.25,1.47,-0.97,-1.09,-0.15,0.77,0.4,1.83,-0.02,0.39,0.14
LRCH3,-0.58,0,0.69,-0.22,-0.39,0.42,0.49,0.73,0,0.16,0.18,-0.05,1.3,-0.12,-0.48,-0.1,-0.34,-0.11,0.33,-0.49,0.45,0.39,-0.11,0.26,0.25,0.26,0.24,0.52
NDST3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCA1,1.36,-1.26,-0.22,0.06,0.18,0.15,-0.34,-0.88,0,0.69,-0.36,0.6,1.36,0.18,-0.68,1.02,-2.16,0.77,1.11,0,0.93,0.23,0.02,-0.77,0.08,-0.53,0.08,1.06
GABPB2,0.57,-0.38,-0.49,1.57,-0.32,-1.4,-0.62,-0.53,1.02,0.23,-0.07,-0.64,1.93,-0.84,-0.57,0.27,0.11,0.6,0.39,0.75,0.47,0,-0.05,0.56,-0.64,-0.63,-0.19,0.41
FGD6,0.55,-0.74,-0.18,-0.42,-0.03,-0.81,-0.64,0.18,-0.46,-0.94,0.47,0.17,0.58,0.53,0.41,0.4,-1.26,-1.42,-2.51,0.78,0.89,-0.38,-0.1,-0.43,-0.7,0.05,-0.38,0.18
NCKAP1,0.04,0.67,0.16,0.79,-0.58,-0.13,0.42,0.11,0.1,0.15,-0.67,0.58,0.45,-0.55,-0.78,-0.09,0.01,0.03,-0.37,0.01,0.16,0.32,0.25,0,0.87,0.5,0.29,0.67
BST1,0,0.68,-0.11,0,1.04,-1.06,0.33,-1.43,0,0.01,-1.12,0.4,-0.48,1.08,1.2,0.17,-1.46,-1.48,0,0.79,-0.01,0.07,0.28,0.17,0.16,-0.42,0.91,0.39
MAGI1,0.12,0.3,1.31,0.83,-0.21,0.13,0.45,1.49,0,-0.18,0.41,-0.18,1.21,-1.57,-0.95,0.01,0.25,-0.16,0,-0.92,0.65,-0.73,-0.18,0.04,0.95,1.14,-1.39,1.2
C8orf34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITF,-0.16,0.85,-0.04,-0.4,0.39,-0.75,0.15,-0.72,-0.2,0.41,0.03,0.04,0.1,0.21,1.07,-0.06,-0.47,0.05,0,0.38,0.56,0.18,-0.03,0.42,-0.23,0.1,0.3,0.47
IRX6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNRA,0,-0.4,-0.52,-0.34,-0.4,-2.5,-0.07,-0.84,0,-0.03,-0.53,-0.03,0.08,0.78,1.17,0.2,0.03,-0.82,0,0,1.31,1.22,0.56,-0.15,-0.46,0.48,0.35,0.41
SLC26A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B10,1.01,6.39,4.47,4.15,1.81,-1.26,5.62,0,4.92,-1.22,0.09,2.46,-0.43,0.64,-1.18,2.6,-0.8,3.69,-1.11,3.76,1.7,-0.46,-1.8,1.65,0.67,4.01,-1.36,-1.04
TRAPPC9,-0.17,-0.36,-0.03,-0.06,-0.74,-0.23,-1.29,-0.18,0.33,0.17,-0.09,-0.45,0.12,-0.02,-0.91,-0.5,0.22,1.08,1.48,0.18,0.87,0.43,0.42,-0.03,0,-1.16,0.71,-0.57
HCLS1,-0.19,1.45,0.4,-0.15,0,-2.04,0.48,-1.34,0.77,0,0.23,0.26,-0.06,0,0.72,0.4,-1.24,-0.86,-0.97,0.23,0.23,0,-0.2,-0.15,0,-0.15,0,0.5
RUFY1,0.1,0.56,0.03,0.87,-0.46,-0.31,0.02,-0.47,0.29,-0.13,-0.17,0.1,0.67,0.03,-0.7,-0.36,-0.76,-0.27,-0.39,-0.45,0.42,0.07,0.13,-0.27,0.83,-0.14,0.63,-0.1
CETN2,-0.02,0,0,0,0,1.01,-0.2,0,0.13,0.27,0,0.47,0.32,-1.25,-0.7,-0.43,1.16,-0.26,-0.07,0.55,0.05,0,-0.03,0.32,0,-0.37,0,-0.05
SPANXD,0.63,-1.2,-0.58,-1.16,1.15,-0.56,-0.34,-0.34,-1.17,-0.13,0.05,0.59,0.71,3.85,-0.6,0.2,0.16,0.79,0,-0.55,-0.41,-0.13,-0.43,-0.08,-0.82,-0.29,-0.12,0.08
ARAF,-0.22,0.6,0.68,-0.43,0.2,0.93,-0.15,-0.16,0.3,-0.41,1.08,-0.23,0.27,0.54,0.2,1.06,0.9,0.86,0.03,-1.27,-1.21,-0.12,-0.36,0.52,0.27,0.25,0.43,0.09
CITED1,0,1.02,-1.51,-0.99,1.17,-0.46,-0.8,0.59,0,-0.76,-0.68,-0.94,1.35,-1.6,-0.56,2.71,-1.04,5.42,0,0,-1.03,-0.93,3.19,1.48,0.11,1.41,1.12,-0.42
LARP1B,0.17,0,0.08,-0.54,-0.23,0.78,-0.14,-0.1,-0.38,0.49,0.14,0.05,-0.51,-0.02,0.34,-0.17,0.35,0.25,0,1.49,0.69,-0.17,-0.01,-0.41,-0.78,0.13,-0.35,-0.33
MTMR1,0.24,-0.21,0.41,-0.51,-0.77,0.38,0.12,0.99,0.4,-0.06,0.03,0.3,-0.36,-0.33,0.07,0.41,1.02,-0.36,0.41,-0.55,-0.17,-0.02,-0.15,-0.1,0.62,0.15,0.21,0.36
CCDC120,0.26,-0.61,0.51,-0.71,-0.64,0.89,-0.2,0.6,-0.44,-0.2,0.18,-0.24,0.21,-0.39,-0.45,0.29,0.82,0.19,0.24,-1.33,0.29,0.09,0.09,0.14,0.21,0.27,-0.05,0.23
GRIPAP1,-0.12,-0.1,0.23,-0.28,0.21,-0.05,-0.26,0.25,-0.43,-0.42,0.55,-0.43,-0.09,0.32,0,0.28,-0.14,0.34,-0.04,-0.89,0.04,-0.08,-0.34,0.1,-0.02,0,0.09,0.25
FGD1,0.54,-0.57,-0.1,1.46,-0.33,0.33,-0.01,0.19,-0.29,-0.13,-0.03,-0.34,0.77,-0.12,-0.17,-0.21,-0.27,0.07,0.02,-0.06,0.31,-0.02,-0.01,-0.34,-0.08,0,-0.2,0.34
MUM1L1,1.73,-0.76,-3.17,1.94,-2.59,-0.19,-0.32,1.54,1.32,-0.54,-2.89,0.2,0.8,-2,-1.87,-1.98,-2.29,-2.3,-1.79,0,-1.77,1.41,0.73,-1.79,1.35,0.13,-0.05,1.94
DYNLT3,0.26,-0.46,-0.39,-0.39,0.95,0.64,0.01,0.46,0.32,0.04,-0.01,0.07,-0.3,-0.29,-0.21,-0.61,-0.61,0.57,-0.55,0,-0.08,0.1,0.58,-0.08,0,0.26,0.56,0.46
MSN,-0.13,0,0.96,-1.02,1.08,-1.54,-0.14,-0.38,0.21,0.31,0.58,-0.13,-0.35,1.31,1.18,0.45,-1.14,-0.74,-0.36,-0.38,0,0.63,-0.13,0.85,-0.24,0,0.6,0.46
MSN,-0.16,0.9,0.72,-0.49,0.68,-1.25,-0.23,-0.78,0.21,0.01,0.08,-0.08,-0.32,1.28,0.68,0.17,-1.07,-0.35,-0.24,-0.36,0.59,0.39,-0.06,0.77,0.2,-0.14,0.88,0.49
TRMT2B,-0.29,-0.14,0.35,-0.07,-0.17,0.42,-0.14,0.47,-0.17,-0.14,1.21,-0.42,0.82,0.41,-0.6,0.15,-0.93,-0.01,0.41,-0.12,-0.26,-0.28,-0.11,-0.08,-0.4,0.29,-0.67,0.41
NDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL6,0,1.88,-0.69,0.3,-0.12,0,-0.8,0,-0.52,1.03,0,-0.67,0.23,0,-0.43,0.34,0.97,-1.24,-0.33,1.69,0.56,0,0,-0.7,-0.65,-0.32,-0.83,-0.15
NR0B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX13B,0,-0.12,0.22,-0.1,0.72,-0.13,-0.17,0.66,0,0.51,-0.28,0,-0.18,0.51,-0.06,-1.04,0.11,-0.52,0.05,0,-0.2,-0.04,-0.03,0.26,-0.56,0.37,-0.23,0.01
TRAPPC2,-0.11,0.22,0.13,0.66,-0.59,0.52,0.36,0.4,-0.03,0.11,0.12,0.41,0.11,0.22,-0.69,0,0.63,-0.52,-0.3,-0.5,0.31,0.36,-0.14,-0.29,0.79,0.53,0.32,0.32
RIBC1,0.41,-1.4,-0.68,0.35,-0.64,0.85,-0.71,-0.57,0.27,-0.45,-0.45,-0.23,0.15,-1.62,-1.6,-0.89,1.62,0.74,0.59,0.41,-0.61,-0.72,-0.4,0.15,0.28,-0.46,-0.14,-0.1
RHOXF2B,-0.69,0,0.01,-1.39,0,-0.07,-0.74,0.25,-0.64,0,0.46,1.02,0,-0.66,1.54,0.77,0.58,-1.2,0.13,0.06,-1.67,1.44,0.43,0.69,-1.02,-0.17,0.09,-1.19
MED12,-0.44,0.4,0.52,0.09,-0.29,0.18,-0.06,0.31,-0.57,-0.2,0.81,-0.46,0.64,0.59,0.22,0.5,0.17,0.94,0.09,-1.65,-0.47,-0.18,-0.37,0.56,0.27,0.2,0.28,0
ZNF75D,0.64,0.63,0.23,-0.08,0.17,0.09,0.27,0.77,0.53,-0.38,0.64,0.09,0.84,0.26,0,0.33,0.93,-0.1,-0.62,0,0.13,-0.33,-0.34,0.14,0.49,0.74,-0.15,0.49
RRAGB,-0.42,0.12,-0.04,0.56,-0.38,0.85,0.28,-0.25,1.12,-0.16,0.13,0.14,0.17,-0.5,-0.35,-0.29,-0.27,-0.03,0.26,1.07,0,0.32,-0.06,0.16,0.34,-0.18,0.05,0.46
ARMCX2,-0.12,-1.35,0.09,0.72,0.36,1.58,0.38,1.08,0.21,0.18,0.47,0.42,0.92,-0.2,0.85,0.47,-0.4,-1.49,-1.95,-0.3,-0.81,0.57,0.15,0.21,0.23,0.47,-0.14,0.47
SGTB,1.01,0.31,0,0,0.82,-0.07,0.06,-0.55,0.7,0.5,0.17,-0.03,-0.6,1.17,1.1,0.2,-0.41,-0.84,-1.13,0,0.19,0.4,0.4,0.07,-0.5,-0.14,0.37,-0.18
LAGE3,0.07,-0.38,-0.38,0.08,-0.67,0,-0.58,-0.07,-0.45,0.18,-0.1,-0.39,-0.09,-0.67,-0.76,0.16,0.76,-0.14,0.29,-0.22,0.29,-0.56,-0.38,-0.1,-0.46,-0.45,0.12,-0.1
IRAK1,-0.31,-0.42,-0.1,-1.08,-0.11,0.08,-0.1,-0.54,0.03,0,0.03,-0.1,0.24,0.57,0.52,0.82,1.17,0.14,0.63,-0.5,-0.25,0.12,0.15,-0.11,-0.33,-0.12,0.36,-0.06
NUDT10,0.91,-0.76,-1.36,0.62,0.88,-0.69,-0.18,-0.8,0.78,-0.68,0.81,0,-0.32,0.08,-0.12,-1.72,-1.68,-0.84,-1.19,-0.8,2.58,1.6,-0.52,0.14,0.76,0.35,0.56,1.17
TCEAL1,0.14,-0.85,-0.15,0.01,1.01,0.72,0.86,0.91,0.9,0.18,0.14,1.97,-0.08,-1.4,-0.78,0.2,-1.21,-0.18,-0.07,0.92,-1.12,0.2,0.73,1.78,0,-0.09,-0.76,1.27
LRCH2,0,0.18,0,-0.02,0.5,-0.77,1.17,0,0,-0.12,-0.82,0.86,-0.56,0.32,0.54,0,-0.67,-1.12,-0.73,0.62,0,0.75,0,0.84,0.94,0.64,0.42,0
MOSPD1,1.37,0.57,-0.83,0.7,-0.21,1.03,-0.03,0.45,0.39,-0.21,-0.15,0.45,0.01,-0.54,-0.27,-0.4,0.56,-0.09,-0.57,0.68,0.73,-0.1,0.27,0.02,0.5,-0.18,0.23,0.46
TLR8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCRNA00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGIF2LY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSPG4P1Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAC3,0.11,0.02,-0.07,0.17,0.15,0.32,-0.09,-0.31,-0.29,-0.56,-0.01,-0.09,0,0.07,-0.16,0.27,0.5,0.29,0.96,-0.39,-0.63,-0.18,0.6,0.08,0.4,-0.48,0.35,0.16
PCDHB10,0.69,0.34,0.43,-0.72,0,-0.59,-0.1,2.42,-0.23,0.46,0.85,0.75,1.85,-0.53,-0.25,-0.98,0.37,-1.43,-0.57,0,0.84,1.26,-0.17,0.71,0.77,0.9,1.31,0.53
GPX7,0.69,0.06,-1.06,-0.03,1.71,-2.05,1.85,-1.28,0.44,-0.57,-1.01,1.19,-0.38,0,0.51,-0.72,-1.63,-0.58,-2.19,0.89,0.38,1.22,-0.09,0.31,1.51,0.28,0.67,1.15
TMEM48,-0.72,0.56,-0.22,-0.25,-0.34,0.39,-0.62,-0.62,0.54,0.32,-0.03,-0.02,-0.27,-0.43,-0.09,-0.83,0.76,-0.09,0.1,-0.32,-0.72,-0.18,-0.24,-0.37,0.49,-0.83,-0.07,-0.95
USP24,-0.29,1.08,0.14,-0.19,0,-0.26,-0.5,-0.08,-0.27,0.36,0.44,0.3,-0.81,0.39,0.27,-0.28,0.63,0.05,-0.67,0.21,0.41,-0.13,-0.3,-0.51,-0.15,0.25,-0.28,-0.4
S100A12,0,1.46,-0.7,0,0.98,-1.15,-1.15,0.27,0,-0.85,-0.65,0.69,0.46,2.26,-0.3,0.11,-2.2,-1.32,-1.42,0,-0.86,-1.03,-1.88,0.22,-1.51,-1.35,-0.14,0.26
SPRR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDZD2,-0.1,1.98,1.8,0.67,-0.76,-1.88,0.16,-1.17,1.26,1.28,0.34,-0.19,0.45,-0.23,-1.5,-0.09,-1.19,-2.54,0,1.16,1.55,0.37,1.24,0.06,0.55,0.47,-0.45,0.46
DBT,0.11,0.38,0.48,0.34,-0.62,0.83,0.62,-0.24,-0.76,0.28,-0.23,0.56,-0.98,-0.41,0.38,-0.09,0.7,0.36,0.14,-0.17,0.21,0.54,0.34,-0.29,0,0.36,0.24,-0.03
CACYBP,0.61,0,-0.46,0.48,-0.37,0.06,-0.37,0.1,0.12,-0.06,-0.09,0.08,0.37,-0.56,-0.56,0.39,0.03,0.51,0.3,0.36,-0.62,-0.51,0.14,-0.16,-0.62,-0.53,-0.04,-0.16
LPHN2,0.58,0.34,0.01,-0.77,0.16,-1.16,0.64,-0.27,-0.03,0.7,-0.69,0.31,-0.49,0.75,1.25,-0.35,-0.07,-1.2,-0.73,1,0.86,0.96,0,0.6,-0.26,0,-0.7,0.6
NPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP23B,-0.94,0.36,0.47,-0.11,1.32,-1.46,2.09,-0.14,0.98,1.34,-0.73,0.94,-1.24,0.69,2.1,0.12,-0.45,-1.88,0.58,1.68,-1.09,1.48,0.6,0.77,0.14,1.19,-0.23,0.94
TCEB3,-0.2,0.55,-0.15,0.15,-0.03,0.34,-0.47,0.6,-0.37,-0.43,-0.39,-0.32,-0.03,0.68,-0.03,-0.01,0.04,0.76,0.31,-1.27,0.04,-0.63,0.18,0.31,0.31,-0.75,0.85,-0.4
IL28RA,0.27,0,0.44,-1.16,0.28,1.14,-0.2,-0.53,0.54,-0.39,0.65,-0.01,-0.25,-0.14,0.37,0.26,-0.65,0.59,0.49,-0.82,-0.52,0.52,0.19,-0.28,0.39,0.36,0.86,-0.6
ZNF713,0.24,-0.6,0.61,-0.81,0.24,-0.1,0.64,0.02,-0.83,0.32,0.91,-0.37,0.18,0.35,1.02,0.59,0.12,-0.07,-0.75,-0.61,-0.65,0,-0.12,-0.36,-0.51,0.96,-1.07,0.62
RAD54L,0.01,-1.06,-1.07,-1.09,-0.33,-0.88,-0.91,-0.65,-0.7,-0.7,-0.47,-0.66,-0.1,0.41,0.14,-0.09,0.91,-0.53,-0.49,-0.28,-1.23,0.16,-0.66,-0.46,-0.57,-0.56,-1.1,-0.68
BTNL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM50A,0.07,0.14,-0.69,0.41,0.28,-0.3,-0.24,0.17,-0.11,0.07,-0.21,0.33,-0.12,0.4,0.1,-0.3,-0.21,0.01,-0.67,0.22,0.27,0.04,0.33,-0.01,-0.24,-0.09,0.35,-0.21
